rank,release_date,primary_title,budget,domestic_gross,worldwide_gross_raw,release_year,month,vote_average,vote_count,genre_ids,primary_genre,worldwide_gross_millions,budget_millions,domestic_gross_millions,roi_percent
37,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,2014,6,5.8,4805.0,"[878, 28, 12]",Sci-Fi,1104.039076,210.0,245.439076,425.73
38,2006-05-26,X-Men: The Last Stand,210000000.0,234362462.0,459260946.0,2006,5,,,,,459.260946,210.0,234.362462,118.7
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,2010,5,6.3,2569.0,"[28, 12, 18]",Action,322.459006,210.0,105.487148,53.55
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,2010,5,5.8,1194.0,"[12, 28, 53]",Adventure,322.459006,210.0,105.487148,53.55
40,2005-12-14,King Kong,207000000.0,218080025.0,550517357.0,2005,12,,,,,550.517357,207.0,218.080025,165.95
41,2007-12-07,The Golden Compass,205000000.0,70107728.0,367262558.0,2007,12,,,,,367.262558,205.0,70.107728,79.15
42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,2018,2,5.1,11.0,"[28, 16]",Action,1348.258224,200.0,700.059566,574.13
42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,2018,2,7.4,12365.0,"[28, 12, 14, 878]",Action,1348.258224,200.0,700.059566,574.13
43,1997-12-19,Titanic,200000000.0,659363944.0,2208208395.0,1997,12,,,,,2208.208395,200.0,659.363944,1004.1
44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,2018,6,7.6,6354.0,"[28, 12, 16, 10751]",Action,1242.520711,200.0,608.581744,521.26
45,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,2016,12,7.5,9296.0,"[28, 12, 878]",Action,1049.102856,200.0,532.177324,424.55
45,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,2016,12,7.5,9296.0,"[28, 12, 878]",Action,1049.102856,200.0,532.177324,424.55
46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,2016,6,7.0,7845.0,"[12, 16, 35, 10751]",Adventure,1021.215193,200.0,486.295561,410.61
47,2010-06-18,Toy Story 3,200000000.0,415004880.0,1068879522.0,2010,6,7.7,8340.0,"[16, 10751, 35]",Animation,1068.879522,200.0,415.00488,434.44
48,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,2013,5,6.9,14155.0,"[28, 12, 878]",Action,1215.392272,200.0,408.992272,507.7
49,2017-05-05,Guardians of the Galaxy Vol 2,200000000.0,389813101.0,862316233.0,2017,5,,,,,862.316233,200.0,389.813101,331.16
50,2004-06-30,Spider-Man 2,200000000.0,373524485.0,795110670.0,2004,6,,,,,795.11067,200.0,373.524485,297.56
51,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,2010,3,6.6,8713.0,"[10751, 14, 12]",Family,1025.49111,200.0,334.19111,412.75
52,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,2012,11,7.1,10441.0,"[28, 12, 53]",Action,1110.526981,200.0,304.360277,455.26
53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,2013,6,7.0,6362.0,"[16, 10751]",Animation,743.588329,200.0,268.488329,271.79
54,2013-03-08,Oz the Great and Powerful,200000000.0,234770996.0,490359051.0,2013,3,5.8,4829.0,"[14, 12, 10751]",Fantasy,490.359051,200.0,234.770996,145.18
55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,2014,5,7.5,10062.0,"[28, 12, 14, 878]",Action,747.862775,200.0,233.921534,273.93
56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,2014,5,6.4,7220.0,"[28, 12, 14]",Action,708.996336,200.0,202.853933,254.5
57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,2011,6,5.9,4058.0,"[16, 10751, 12, 35]",Animation,560.155383,200.0,191.450875,180.08
58,2010-12-17,Tron: Legacy,200000000.0,172062763.0,400062763.0,2010,12,6.3,4387.0,"[12, 28, 878]",Adventure,400.062763,200.0,172.062763,100.03
58,2010-12-17,Tron: Legacy,200000000.0,172062763.0,400062763.0,2010,12,6.3,4387.0,"[12, 28, 878]",Adventure,400.062763,200.0,172.062763,100.03
59,2009-11-13,2012,200000000.0,166112167.0,757677748.0,2009,11,,,,,757.677748,200.0,166.112167,278.84
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,2018,11,6.9,4870.0,[12],Adventure,652.220086,200.0,159.555901,226.11
61,2009-05-21,Terminator Salvation,200000000.0,125322469.0,365491792.0,2009,5,,,,,365.491792,200.0,125.322469,82.75
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,2011,6,5.1,4290.0,"[12, 28, 53, 878]",Adventure,219.535492,200.0,116.601172,9.77
63,2010-05-28,Prince of Persia: Sands of Time,200000000.0,90759676.0,336359676.0,2010,5,,,,,336.359676,200.0,90.759676,68.18
64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,2011,6,6.1,4961.0,"[28, 878, 12]",Action,1123.790543,195.0,352.390543,476.3
65,2017-06-09,The Mummy,195000000.0,80101125.0,409953905.0,2017,6,5.5,4391.0,"[14, 53, 28, 12, 27]",Fantasy,409.953905,195.0,80.101125,110.23
